Date,Portfolio_Value
2021-05-28,664215.2126453158
2021-05-31,662922.206111235
2021-06-01,658836.368219569
2021-06-02,664093.211270117
2021-06-03,662181.5561023055
2021-06-04,664093.2112701171
2021-06-07,658151.0842528439
2021-06-08,651696.5909706306
2021-06-09,655066.9163674136
2021-06-10,666674.4342148221
2021-06-11,676238.5121721652
2021-06-14,673431.511790704
2021-06-15,675825.7132693334
2021-06-16,677063.3214290849
2021-06-17,680119.1067464326
2021-06-18,683663.8846718805
2021-06-21,689533.210482752
2021-06-22,683213.3982620209
2021-06-23,692756.6883395689
2021-06-24,696827.03128168
2021-06-25,693722.5825349224
2021-06-28,682841.4605351482
2021-06-29,680954.8316743417
2021-06-30,675886.0550505316
2021-07-01,672999.2876921255
2021-07-02,680987.9733248216
2021-07-05,668951.1991531459
2021-07-06,671545.0785939855
2021-07-07,668172.0875224367
2021-07-08,657847.4207437233
2021-07-09,654761.538058778
2021-07-12,659662.5388881818
2021-07-13,673304.5711920316
2021-07-14,672126.4548899295
2021-07-15,681825.7860545871
2021-07-16,677484.4928148525
2021-07-19,681153.8398833828
2021-07-20,683773.4555328331
2021-07-22,683029.4873625609
2021-07-23,679776.7611331391
2021-07-26,676672.872605189
2021-07-27,679829.8072865504
2021-07-28,679404.6117951887
2021-07-29,673377.6764024753
2021-07-30,684421.7974078591
2021-08-02,698346.6054732571
2021-08-03,696018.7992458374
2021-08-04,698144.7216183742
2021-08-05,703640.0937915462
2021-08-06,706382.7947515654
2021-08-09,708763.7573009393
2021-08-10,701331.3198676103
2021-08-11,709218.8096450474
2021-08-12,712707.5653299858
2021-08-13,710533.4544149482
2021-08-16,707509.5771575986
2021-08-17,704178.4460453823
2021-08-18,703975.366897526
2021-08-20,706331.4343022442
2021-08-23,699059.9346342428
2021-08-24,705031.6404335676
2021-08-25,701842.6265213023
2021-08-26,694164.9685575883
2021-08-27,689797.9755194617
2021-08-30,695582.0908092089
2021-08-31,698338.976216631
2021-09-01,706748.2421906767
2021-09-02,700988.4839844492
2021-09-03,697939.9029322084
2021-09-06,699522.3560942233
2021-09-07,702709.6300539043
2021-09-08,699232.5468557754
2021-09-09,693415.3638982481
2021-09-13,690294.96460434
2021-09-14,697027.6172407797
2021-09-15,709565.9992949127
2021-09-16,702687.003187234
2021-09-17,701888.5328485015
2021-09-20,709130.416715962
2021-09-21,708983.6317356005
2021-09-22,710286.8597579355
2021-09-23,716181.1624841115
2021-09-24,726712.1828123276
2021-09-27,712335.3999422948
2021-09-28,704736.7610598907
2021-09-29,696144.8003770934
2021-09-30,687701.8131561182
2021-10-01,695499.1660150745
2021-10-04,692419.9676668023
2021-10-05,684871.0072785363
2021-10-06,697485.7475952691
2021-10-07,698677.7213516227
2021-10-08,654287.6083823579
2021-10-11,649976.4193762967
2021-10-12,651214.7414506135
2021-10-13,653710.3464201317
2021-10-14,670023.9468930489
2021-10-18,671821.5347063134
2021-10-19,664521.1543866372
2021-10-20,646565.6990637766
2021-10-21,634085.2936938555
2021-10-22,627907.0396602905
2021-10-25,642206.1783261067
2021-10-26,634085.2936938555
2021-10-27,627134.7337231684
2021-10-28,612087.5365344216
2021-10-29,612461.6302836906
2021-11-01,613014.804677877
2021-11-02,603362.1630088281
2021-11-03,606195.6276693899
2021-11-04,608591.5779654637
2021-11-08,609104.0359333989
2021-11-09,605385.9410688054
2021-11-10,606063.5268782276
2021-11-11,612639.9285130316
2021-11-12,617374.4020917584
2021-11-15,617913.1007833475
2021-11-16,615689.0541577925
2021-11-17,616983.0440036216
2021-11-18,613912.1535450105
2021-11-22,614950.6115990101
2021-11-23,611231.6546381086
2021-11-24,611693.2476593263
2021-11-25,597242.281305154
2021-11-26,606798.2226908135
2021-11-29,603685.9304244102
2021-11-30,604479.0316578024
2021-12-01,612955.7995212523
2021-12-02,608503.0729016539
2021-12-03,594390.9359145727
2021-12-06,600123.400639769
2021-12-07,609256.8340883022
2021-12-08,618919.3145664578
2021-12-09,619549.2831406721
2021-12-10,614407.6182315671
2021-12-13,617048.9377739227
2021-12-14,616042.6811829364
2021-12-15,616083.7389331877
2021-12-16,605402.091208058
2021-12-17,590148.5929966754
2021-12-20,598793.6070399779
2021-12-21,609142.7103068017
2021-12-22,607895.8372738871
2021-12-23,604404.5616397448
2021-12-24,603754.951012131
2021-12-27,603590.9427855922
2021-12-28,604622.7909170241
2021-12-29,593700.5600899312
2021-12-30,595978.1039191373
2021-12-31,612192.8343403004
2022-01-03,615778.1625621112
2022-01-04,627888.9809206527
2022-01-05,625498.65705731
2022-01-06,630546.1503720221
2022-01-07,631063.8615025393
2022-01-10,632717.6036240996
2022-01-11,640167.9343786102
2022-01-12,628385.6294700598
2022-01-13,629302.7125477206
2022-01-14,632613.2821043574
2022-01-17,626497.5654999863
2022-01-18,608982.0867747003
2022-01-19,594842.4620707195
2022-01-20,595922.7843493128
2022-01-21,586261.6452084936
2022-01-24,586036.1500048005
2022-01-25,567281.0007885812
2022-01-27,566735.1130130189
2022-01-28,573830.6068278035
2022-01-31,583721.4693906953
2022-02-01,584911.5456133669
2022-02-02,577353.4567019233
2022-02-03,572089.6857669553
2022-02-04,568605.0948501561
2022-02-07,578163.2121305293
2022-02-08,592302.2985014092
2022-02-09,591693.5204837809
2022-02-10,590537.9179706061
2022-02-11,577106.8508568892
2022-02-14,596335.7158505651
2022-02-15,594637.6215965488
2022-02-16,591721.4991226093
2022-02-17,593238.3314108079
2022-02-18,581588.9657858855
2022-02-21,582815.4840226057
2022-02-22,577618.026203572
2022-02-23,548760.3965503756
2022-02-24,566330.9456160739
2022-02-25,576144.1303760987
2022-02-28,554539.6821218693
2022-03-02,541701.1577355617
2022-03-03,533749.802408526
2022-03-04,507141.83891941636
2022-03-07,515868.9161458569
2022-03-08,517769.4953459095
2022-03-09,525907.2031459112
2022-03-10,527455.3760135198
2022-03-11,544731.359172907
2022-03-14,537726.6128716682
2022-03-15,546846.0369581955
2022-03-16,564673.4096359125
2022-03-17,557593.327792974
2022-03-21,569009.0721795424
2022-03-22,570769.398166145
2022-03-23,576527.3005933836
2022-03-24,573425.8046969092
2022-03-25,572615.973952643
2022-03-28,576313.4183567191
2022-03-29,581798.4641257954
2022-03-30,582684.6348769077
2022-03-31,581676.3038376548
2022-04-01,583471.4373242012
2022-04-04,579720.2173795925
2022-04-05,578174.9395448855
2022-04-06,583593.4175423856
2022-04-07,593301.676016454
2022-04-08,592065.4524342205
2022-04-11,591216.5390314152
2022-04-12,586547.391266293
2022-04-13,565100.1503005455
2022-04-18,543536.1111208173
2022-04-19,548436.1643890078
2022-04-20,559514.9764026063
2022-04-21,557032.4251213784
